,name,Team,DATE,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY,G_ID,power_barrel,contact_barrel,clutch_barrel
10,강백호,kt,20210416,키움,W 8:4,3,RF,1,4,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.415,,0.512,1.012,12,0.84,0.68,0.085,2021,68050,내,21,31000만원,0.0,1.0,0.0,1.0
11,강백호,kt,20210417,키움,W 8:5,3,1B,1,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.4,,0.489,0.979,19,1.36,-0.15,-0.008,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
12,강백호,kt,20210418,키움,W 10:2,3,1B,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.388,,0.469,0.935,14,0.66,-0.04,0.047,2021,68050,내,21,31000만원,0.0,2.0,0.0,0.0
13,강백호,kt,20210420,@NC,W 5:2,3,1B,1,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.377,,0.453,0.913,18,1.23,0.32,0.098,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
14,강백호,kt,20210421,@NC,L 3:4,3,1B,1,5,1,3,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0.397,,0.517,0.988,20,1.64,2.68,0.273,2021,68050,내,21,31000만원,0.0,1.0,2.0,1.0
15,강백호,kt,20210422,@NC,W 11:5,3,1B,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.387,,0.5,0.952,15,0.43,-1.23,-0.046,2021,68050,내,21,31000만원,0.0,1.0,1.0,0.0
16,강백호,kt,20210423,롯데,L 5:10,3,1B,1,5,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.403,,0.507,0.969,19,0.28,1.4,0.003,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
17,강백호,kt,20210424,롯데,L 2:4,3,1B,1,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.408,,0.5489999999999999,1.013,21,1.27,1.13,0.079,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
18,강백호,kt,20210425,롯데,W 6:5,3,1B,1,4,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0.4,,0.547,0.995,24,2.05,0.0,0.051,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
19,강백호,kt,20210427,@SSG,D :,3,1B,1,5,0,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0.4,,0.55,1.002,23,0.27,0.83,0.041,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
20,강백호,kt,20210428,@SSG,D :,3,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.405,,0.5479999999999999,1.001,16,0.79,0.31,0.061,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
21,강백호,kt,20210429,@SSG,D :,3,1B,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.393,,0.528,0.969,18,0.87,-1.59,-0.075,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
22,강백호,kt,20210430,KIA,W 15:3,3,1B,1,2,1,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0.407,,0.5379999999999999,1.001,17,0.91,2.33,0.118,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
23,강백호,kt,20210501,KIA,W 3:0,3,1B,1,3,0,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0.415,,0.5429999999999999,1.015,18,1.07,2.13,0.23,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
24,강백호,kt,20210502,KIA,W 9:2,3,1B,1,4,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.418,,0.551,1.025,15,0.79,1.16,-0.015,2021,68050,내,21,31000만원,0.0,2.0,1.0,0.0
25,강백호,kt,20210505,@키움,L 0:14,3,1B,1,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.42,,0.56,1.034,8,0.23,0.05,0.02,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
26,강백호,kt,20210506,@키움,L 4:6,3,1B,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.404,,0.5379999999999999,1.001,21,1.19,-0.78,-0.065,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
27,강백호,kt,20210508,NC,L 4:5,3,1B,1,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.402,,0.5329999999999999,1.001,22,1.54,0.48,0.013,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
28,강백호,kt,20210509,NC,L 11:16,3,1B,1,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.4,,0.555,1.02,14,0.8,1.22,0.094,2021,68050,내,21,31000만원,1.0,1.0,0.0,1.0
29,강백호,kt,20210509,NC,W 9:5,3,1B,1,4,2,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.395,,0.5529999999999999,1.015,22,0.68,1.57,0.111,2021,68050,내,21,31000만원,2.0,1.0,0.0,0.0
30,강백호,kt,20210511,삼성,W 9:6,3,1B,1,5,1,3,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0.403,,0.555,1.022,21,1.22,1.27,0.07200000000000001,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
31,강백호,kt,20210512,삼성,L 5:7,3,1B,1,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.403,,0.573,1.038,22,1.22,0.5,-0.03,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
32,강백호,kt,20210513,삼성,L 0:4,3,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.394,,0.5589999999999999,1.019,17,1.88,-0.49,-0.085,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
33,강백호,kt,20210514,@롯데,W 9:1,3,1B,1,5,1,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0.394,,0.561,1.022,27,0.52,1.74,0.114,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
34,강백호,kt,20210515,@롯데,W 5:4,3,1B,1,5,1,3,0,0,1,6,2,0,0,0,0,0,2,0,0,0,0.401,,0.584,1.0490000000000002,22,0.93,1.84,0.33,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
35,강백호,kt,20210518,두산,W 1:0,3,1B,1,3,0,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0.414,,0.593,1.071,20,1.23,1.22,0.112,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
36,강백호,kt,20210519,두산,W 6:5,3,RF,1,4,0,2,0,0,0,2,4,0,1,0,0,0,2,0,0,0,0.417,,0.59,1.069,27,1.66,1.39,0.191,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
37,강백호,kt,20210521,@한화,L 0:4,3,1B,1,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.415,,0.585,1.065,22,0.66,0.44,0.06,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
38,강백호,kt,20210522,@한화,L 0:5,3,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.407,,0.573,1.048,16,0.61,-0.23,-0.053,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
39,강백호,kt,20210523,@한화,W 8:1,3,1B,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.394,,0.555,1.016,29,0.44,-2.77,-0.071,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
40,강백호,kt,20210526,SSG,L 5:9,3,PH,0,3,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0.392,,0.557,1.019,13,1.72,-0.03,0.108,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
41,강백호,kt,20210527,SSG,W 6:5,3,1B,1,3,2,3,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0.404,,0.59,1.0659999999999998,24,1.42,3.2,0.35700000000000004,2021,68050,내,21,31000만원,0.0,2.0,1.0,1.0
42,강백호,kt,20210528,@KIA,L 6:7,3,1B,1,3,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.409,,0.591,1.0759999999999998,22,1.83,0.99,0.139,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
43,강백호,kt,20210529,@KIA,W 7:5,3,1B,1,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.407,,0.5870000000000001,1.074,27,1.3,0.36,-0.039,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
44,강백호,kt,20210530,@KIA,W 4:3,3,1B,1,3,1,2,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0.412,,0.588,1.081,14,0.99,0.78,0.112,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
45,강백호,kt,20210601,@LG,W 8:1,3,1B,1,5,2,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0.417,,0.589,1.084,22,0.74,1.09,0.135,2021,68050,내,21,31000만원,0.0,0.0,2.0,0.0
46,강백호,kt,20210602,@LG,L 5:6,3,1B,1,4,1,2,1,0,1,6,2,0,0,0,0,0,1,0,0,0,0.419,,0.609,1.104,15,1.06,1.45,0.141,2021,68050,내,21,31000만원,0.0,2.0,0.0,1.0
47,강백호,kt,20210604,롯데,L 0:15,3,1B,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.42,,0.608,1.105,10,0.33,0.42,0.038,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
48,강백호,kt,20210605,롯데,W 8:1,3,1B,1,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.419,,0.602,1.098,20,0.77,-0.27,-0.037000000000000005,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
49,강백호,kt,20210606,롯데,L 7:8,3,1B,1,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.411,,0.589,1.078,24,0.29,-1.08,-0.017,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
50,강백호,kt,20210608,@SSG,D :,3,1B,1,4,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0.407,,0.5820000000000001,1.069,13,0.81,0.14,0.029,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
51,강백호,kt,20210609,@SSG,D :,3,1B,1,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.407,,0.583,1.068,24,0.6,0.13,-0.026,2021,68050,내,21,31000만원,0.0,0.0,2.0,0.0
52,강백호,kt,20210611,한화,W 6:5,3,1B,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.397,,0.569,1.044,24,1.24,-1.18,-0.121,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
53,강백호,kt,20210612,한화,W 7:2,3,1B,1,3,2,3,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0.406,,0.575,1.061,22,0.78,2.97,0.236,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
54,강백호,kt,20210613,한화,W 6:3,3,1B,1,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.403,,0.573,1.055,16,0.52,0.74,0.042,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
55,강백호,kt,20210616,@NC,W 7:3,3,1B,1,4,1,3,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0.409,,0.581,1.07,22,1.13,1.7,0.14400000000000002,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
56,강백호,kt,20210617,@NC,L 1:9,3,1B,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.408,,0.578,1.064,20,1.01,-0.09,-0.006999999999999999,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
57,강백호,kt,20210618,두산,L 3:11,3,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.401,,0.568,1.046,21,0.58,-1.25,-0.06,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
58,강백호,kt,20210619,두산,L 3:9,3,1B,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,,0.564,1.042,14,0.38,-0.16,0.002,2021,68050,내,21,31000만원,1.0,0.0,0.0,0.0
60,강백호,kt,20210620,두산,W 4:1,3,1B,1,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.398,,0.5579999999999999,1.036,17,1.62,0.52,0.105,2021,68050,내,21,31000만원,0.0,0.0,2.0,0.0
61,강백호,kt,20210622,KIA,W 6:3,3,1B,1,3,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.397,,0.556,1.034,17,0.69,0.93,0.051,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
62,강백호,kt,20210623,KIA,L 1:2,3,1B,1,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.397,,0.5529999999999999,1.031,18,1.28,-0.09,0.029,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
63,강백호,kt,20210624,KIA,W 6:3,3,1B,1,1,3,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0.395,,0.55,1.035,19,1.8,1.23,0.175,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
65,강백호,kt,20210626,@한화,W 11:2,3,1B,1,3,2,2,0,0,2,8,5,0,0,1,0,0,1,0,0,0,0.399,,0.5760000000000001,1.0659999999999998,24,0.68,4.12,0.295,2021,68050,내,21,31000만원,0.0,2.0,0.0,0.0
66,강백호,kt,20210627,@한화,W 11:1,3,1B,1,1,2,1,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0.402,,0.5820000000000001,1.079,22,0.36,1.76,0.051,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
67,강백호,kt,20210630,@LG,W 4:3,3,1B,1,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.401,,0.579,1.0759999999999998,23,1.1,0.88,0.091,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
68,강백호,kt,20210701,@LG,W 6:1,3,1B,1,3,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0.4,,0.5760000000000001,1.074,15,0.51,0.95,0.071,2021,68050,내,21,31000만원,0.0,1.0,1.0,0.0
69,강백호,kt,20210702,키움,W 4:1,3,1B,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.398,,0.5710000000000001,1.0659999999999998,15,0.86,0.64,0.111,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
70,강백호,kt,20210704,키움,W 12:3,3,1B,1,4,0,1,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0.395,,0.57,1.063,28,1.02,1.39,-0.026,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
71,강백호,kt,20210705,키움,L 5:15,3,1B,1,2,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.396,,0.573,1.068,14,0.32,0.65,0.028,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
73,강백호,kt,20210709,@KIA,L 4:10,3,1B,1,4,1,3,1,0,1,7,2,0,0,0,0,0,1,0,0,0,0.401,,0.588,1.086,23,0.52,2.92,0.07,2021,68050,내,21,31000만원,0.0,1.0,1.0,0.0
74,강백호,kt,20210711,@KIA,L 0:2,3,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,,0.579,1.072,15,1.36,-1.23,-0.13699999999999998,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
102,배정대,kt,20210404,한화,W 3:2,8,CF,1,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.5,,0.75,1.25,11,2.04,1.72,0.473,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
104,배정대,kt,20210407,LG,W 7:3,8,CF,1,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.3,,0.4,0.764,24,1.26,-0.36,-0.078,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
105,배정대,kt,20210408,LG,L 3:7,7,CF,1,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.28600000000000003,,0.35700000000000004,0.69,16,1.06,-0.35,-0.019,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
106,배정대,kt,20210409,@삼성,L 5:7,6,CF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,,0.294,0.5720000000000001,18,1.25,-1.25,-0.094,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
107,배정대,kt,20210410,@삼성,L 6:7,2,CF,1,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.238,,0.28600000000000003,0.59,26,1.39,-0.08,-0.065,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
108,배정대,kt,20210411,@삼성,L 2:4,1,CF,1,3,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0.25,,0.292,0.649,27,1.46,-0.1,0.002,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
109,배정대,kt,20210413,@두산,W 8:7,1,CF,1,5,1,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0.31,,0.345,0.7390000000000001,21,0.67,0.18,0.042,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
110,배정대,kt,20210414,@두산,L 1:3,1,CF,1,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.333,,0.394,0.799,10,1.29,0.77,0.152,2021,64166,외,26,14000만원,0.0,1.0,0.0,0.0
111,배정대,kt,20210415,@두산,W 8:3,1,CF,1,5,1,4,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0.395,,0.447,0.9,25,1.05,2.82,0.241,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
112,배정대,kt,20210416,키움,W 8:4,1,CF,1,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.35700000000000004,,0.405,0.83,22,0.76,-1.19,-0.078,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
113,배정대,kt,20210417,키움,W 8:5,2,CF,1,4,1,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.37,,0.435,0.877,21,0.93,0.74,0.134,2021,64166,외,26,14000만원,0.0,1.0,1.0,0.0
114,배정대,kt,20210418,키움,W 10:2,2,CF,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.34,,0.4,0.821,17,0.47,0.02,-0.054000000000000006,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
115,배정대,kt,20210420,@NC,W 5:2,6,CF,1,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0.321,,0.377,0.797,17,1.17,0.51,0.058,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
116,배정대,kt,20210421,@NC,L 3:4,6,CF,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.309,,0.364,0.7879999999999999,17,1.08,-0.01,0.028,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
117,배정대,kt,20210422,@NC,W 11:5,5,CF,1,4,1,1,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0.305,,0.407,0.821,15,0.54,1.57,-0.044,2021,64166,외,26,14000만원,0.0,1.0,0.0,0.0
118,배정대,kt,20210423,롯데,L 5:10,5,CF,1,2,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0.311,,0.41,0.8420000000000001,14,0.63,0.88,-0.003,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
119,배정대,kt,20210424,롯데,L 2:4,6,CF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.308,,0.4,0.823,16,1.31,-0.46,-0.031,2021,64166,외,26,14000만원,0.0,1.0,1.0,0.0
120,배정대,kt,20210425,롯데,W 6:5,5,CF,1,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.304,,0.391,0.813,13,1.23,-0.01,0.016,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
121,배정대,kt,20210427,@SSG,D :,1,CF,1,6,1,3,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0.32,,0.4,0.8270000000000001,23,0.39,0.99,-0.029,2021,64166,외,26,14000만원,0.0,0.0,2.0,0.0
122,배정대,kt,20210428,@SSG,D :,1,CF,1,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.308,,0.385,0.804,13,0.69,-0.5,-0.042,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
123,배정대,kt,20210429,@SSG,D :,2,CF,1,4,1,2,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0.317,,0.39,0.8190000000000001,20,1.19,0.67,-0.003,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
124,배정대,kt,20210430,KIA,W 15:3,2,CF,1,3,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.318,,0.388,0.825,20,0.61,1.64,0.057,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
125,배정대,kt,20210501,KIA,W 3:0,5,CF,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.307,,0.375,0.805,17,0.9,-0.65,-0.083,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
126,배정대,kt,20210502,KIA,W 9:2,2,CF,1,5,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.312,,0.387,0.816,14,0.93,0.81,0.046,2021,64166,외,26,14000만원,0.0,1.0,1.0,0.0
127,배정대,kt,20210505,@키움,L 0:14,5,CF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,,0.383,0.8079999999999999,5,0.81,-0.26,-0.02,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
128,배정대,kt,20210506,@키움,L 4:6,5,CF,1,4,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.316,,0.408,0.836,17,1.13,0.97,0.224,2021,64166,외,26,14000만원,0.0,1.0,0.0,0.0
129,배정대,kt,20210508,NC,L 4:5,1,CF,1,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.307,,0.396,0.8220000000000001,30,1.73,-1.14,-0.13,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
130,배정대,kt,20210509,NC,L 11:16,2,CF,1,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.311,,0.396,0.821,17,0.61,0.93,-0.019,2021,64166,외,26,14000만원,1.0,0.0,0.0,0.0
131,배정대,kt,20210509,NC,W 9:5,2,CF,1,4,3,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.327,,0.409,0.848,16,0.63,2.89,0.139,2021,64166,외,26,14000만원,2.0,0.0,1.0,0.0
132,배정대,kt,20210511,삼성,W 9:6,2,CF,1,4,2,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.333,,0.421,0.866,23,1.05,1.48,0.215,2021,64166,외,26,14000만원,0.0,1.0,1.0,0.0
133,배정대,kt,20210512,삼성,L 5:7,2,CF,1,3,1,2,0,0,1,5,2,0,0,1,1,0,0,0,0,0,0.342,,0.453,0.911,22,0.81,2.21,0.165,2021,64166,외,26,14000만원,0.0,1.0,1.0,0.0
134,배정대,kt,20210513,삼성,L 0:4,4,CF,1,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.339,,0.455,0.907,10,1.86,-0.7,-0.101,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
135,배정대,kt,20210514,@롯데,W 9:1,5,CF,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.336,,0.448,0.895,12,0.54,-0.96,-0.032,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
136,배정대,kt,20210515,@롯데,W 5:4,5,CF,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,,0.442,0.883,18,1.02,-0.56,-0.017,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
137,배정대,kt,20210518,두산,W 1:0,2,CF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.331,,0.436,0.873,14,1.0,-0.99,-0.087,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
138,배정대,kt,20210519,두산,W 6:5,1,CF,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.324,,0.426,0.8590000000000001,25,1.29,0.91,0.093,2021,64166,외,26,14000만원,0.0,0.0,0.0,0.0
139,배정대,kt,20210521,@한화,L 0:4,2,CF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.321,,0.421,0.8490000000000001,21,0.66,-0.34,-0.014,2021,64166,외,26,14000만원,0.0,0.0,1.0,0.0
