,tb,rbi,sb,sh,sf,ibb,WPA,avg,obp,slg,ops,power_barrel,contact_barrel,clutch_barrel,xh,babib,pitch/pa,cq,b/k,IsoP,IsoD,hr%,kk%,bb%,xh/h,ueqr,wOBA,obp_label,slg_label,ops_label,ops_mean,avg_mean,obp_mean,slg_mean,power_barrel_mean,contact_barrel_mean,clutch_barrel_mean
10,0.4,0.157,0.0,0.014,0.014,0.0,-0.006,0.25,0.319,0.438,0.757,0.071,0.086,0.0,0.114,0.286,3.61,0.328,0.357,0.188,0.069,0.029,0.2,0.071,0.5,0.774,0.338,0.37735849056603776,0.43478260869565216,0.81214109926169,0.6672499999999999,0.25415,0.31265000000000004,0.3546000000000001,0.051449999999999996,0.10034999999999998,0.0
11,0.378,0.1,0.0,0.0,0.0,0.0,0.008,0.268,0.341,0.415,0.756,0.056,0.089,0.011,0.067,0.284,3.77,0.303,0.667,0.14699999999999996,0.07300000000000001,0.033,0.133,0.089,0.273,0.764,0.339,0.2962962962962963,0.3076923076923077,0.603988603988604,0.7515609756097559,0.2650975609756097,0.34326829268292675,0.4082926829268293,0.06809756097560977,0.08863414634146344,0.009731707317073176
12,0.351,0.193,0.0,0.0,0.0,0.0,-0.0,0.235,0.328,0.392,0.72,0.105,0.088,0.035,0.07,0.25,4.09,0.286,0.667,0.15700000000000003,0.09300000000000003,0.035,0.158,0.105,0.333,0.733,0.327,0.30434782608695654,0.5121951219512195,0.8165429480381761,0.9662857142857143,0.30900000000000005,0.38657142857142857,0.5797142857142857,0.14500000000000002,0.07442857142857144,0.028571428571428574
13,0.536,0.134,0.045,0.0,0.0,0.018,0.007,0.294,0.368,0.588,0.956,0.107,0.089,0.036,0.152,0.293,3.94,0.375,0.714,0.294,0.07400000000000001,0.054,0.125,0.089,0.567,0.954,0.419,0.3953488372093023,0.9024390243902439,1.2977878615995462,0.8648181818181818,0.28154545454545454,0.34240909090909094,0.5224090909090908,0.08477272727272728,0.08222727272727273,0.026727272727272742
14,0.492,0.197,0.0,0.016,0.0,0.0,0.017,0.412,0.516,0.588,1.104,0.082,0.098,0.0,0.115,0.435,3.98,0.415,2.5,0.176,0.10400000000000004,0.016,0.066,0.164,0.333,1.087,0.491,0.47619047619047616,0.47368421052631576,0.949874686716792,1.005,0.381125,0.470625,0.5343749999999999,0.05999999999999999,0.105125,0.0
15,0.4,0.088,0.025,0.0,0.0,0.0,-0.007,0.241,0.277,0.405,0.682,0.088,0.1,0.025,0.075,0.271,3.76,0.308,0.059,0.16400000000000003,0.03600000000000003,0.037,0.212,0.013,0.316,0.698,0.307,0.3448275862068966,0.48148148148148145,0.826309067688378,0.7191333333333333,0.2794,0.32393333333333335,0.39519999999999994,0.04900000000000002,0.126,0.005599999999999999
16,0.088,0.059,0.029,0.0,0.0,0.0,-0.01,0.088,0.088,0.088,0.176,0.0,0.088,0.0,0.0,0.088,2.59,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.079,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.42510000000000003,0.1965,0.2152,0.20990000000000003,0.0,0.1072,0.0
17,0.457,0.152,0.0,0.0,0.0,0.0,0.004,0.395,0.458,0.488,0.946,0.043,0.152,0.022,0.043,0.485,4.02,0.435,0.333,0.09299999999999997,0.063,0.022,0.196,0.065,0.118,0.948,0.442,0.21428571428571427,0.2692307692307692,0.48351648351648346,0.8507999999999999,0.33499999999999996,0.37733333333333335,0.47346666666666676,0.068,0.11873333333333334,0.0202
18,0.469,0.177,0.0,0.0,0.01,0.0,-0.002,0.278,0.312,0.5,0.812,0.115,0.052,0.021,0.083,0.253,3.52,0.325,0.5,0.22199999999999998,0.033999999999999975,0.062,0.104,0.052,0.32,0.809,0.345,0.44,0.7142857142857143,1.1542857142857144,0.8170000000000001,0.27057894736842103,0.318421052631579,0.498578947368421,0.12105263157894738,0.07115789473684211,0.01642105263157895
19,0.471,0.141,0.0,0.0,0.0,0.0,-0.005,0.308,0.372,0.513,0.885,0.118,0.082,0.024,0.094,0.364,3.91,0.407,0.368,0.20500000000000002,0.064,0.047,0.224,0.082,0.333,0.884,0.388,0.22727272727272727,0.3333333333333333,0.5606060606060606,0.8485681818181816,0.2959090909090908,0.34600000000000003,0.5025681818181817,0.09122727272727273,0.10772727272727273,0.03652272727272725
20,0.378,0.078,0.022,0.0,0.0,0.0,0.003,0.282,0.33,0.4,0.73,0.056,0.122,0.011,0.078,0.359,3.73,0.342,0.25,0.11800000000000005,0.04800000000000004,0.011,0.222,0.056,0.292,0.737,0.326,0.4807692307692308,0.8936170212765957,1.3743862520458265,0.8598809523809524,0.30285714285714294,0.3709047619047619,0.48897619047619045,0.08088095238095239,0.08690476190476189,0.015357142857142863
21,0.333,0.089,0.0,0.0,0.0,0.0,0.024,0.273,0.289,0.341,0.63,0.022,0.067,0.0,0.067,0.324,3.62,0.284,0.143,0.068,0.01599999999999996,0.0,0.156,0.022,0.25,0.633,0.279,0.25,0.21052631578947367,0.4605263157894737,0.6018000000000001,0.2432,0.2732,0.3286,0.034199999999999994,0.0724,0.0046
22,0.473,0.122,0.0,0.0,0.0,0.0,0.003,0.357,0.392,0.5,0.892,0.068,0.203,0.027,0.081,0.451,4.14,0.434,0.235,0.14300000000000002,0.03500000000000003,0.027,0.23,0.054,0.24,0.892,0.39,0.375,0.5714285714285714,0.9464285714285714,0.6834651162790698,0.25160465116279074,0.31851162790697685,0.364953488372093,0.05804651162790696,0.10753488372093023,0.00904651162790698
23,0.35,0.049,0.029,0.01,0.0,0.0,-0.0,0.255,0.305,0.367,0.6719999999999999,0.029,0.078,0.0,0.068,0.308,4.03,0.295,0.263,0.11199999999999999,0.04999999999999999,0.01,0.184,0.049,0.28,0.688,0.304,0.35185185185185186,0.37254901960784315,0.724400871459695,0.6704324324324326,0.27016216216216216,0.343054054054054,0.3273783783783783,0.01186486486486487,0.11429729729729732,0.0
24,0.634,0.168,0.02,0.0,0.0,0.0,0.007,0.34,0.386,0.681,1.0670000000000002,0.168,0.059,0.03,0.158,0.324,3.84,0.429,0.583,0.341,0.045999999999999985,0.079,0.119,0.069,0.5,1.063,0.445,0.49019607843137253,0.5652173913043478,1.0554134697357203,0.8212631578947369,0.3155526315789473,0.3828684210526315,0.4383947368421052,0.06652631578947367,0.10099999999999998,0.007526315789473685
25,0.443,0.114,0.063,0.0,0.0,0.0,0.005,0.324,0.367,0.473,0.84,0.025,0.114,0.0,0.089,0.411,3.86,0.395,0.294,0.14899999999999997,0.04299999999999998,0.013,0.215,0.063,0.292,0.871,0.366,0.24242424242424243,0.3225806451612903,0.5650048875855327,0.7351666666666666,0.28150000000000003,0.33123809523809516,0.40392857142857136,0.04278571428571428,0.10492857142857147,0.007333333333333335
26,0.588,0.15,0.012,0.0,0.0,0.0,0.006,0.38,0.45,0.662,1.112,0.062,0.062,0.0,0.125,0.4,3.7,0.46,0.818,0.28200000000000003,0.07,0.062,0.138,0.113,0.37,1.099,0.472,0.4117647058823529,0.6551724137931034,1.0669371196754565,0.8399117647058825,0.29317647058823526,0.36238235294117654,0.477529411764706,0.03211764705882354,0.08755882352941177,0.002647058823529411
27,0.576,0.162,0.0,0.0,0.02,0.0,0.011,0.36,0.404,0.64,1.044,0.091,0.192,0.02,0.121,0.371,4.06,0.447,0.533,0.28,0.04400000000000004,0.061,0.152,0.081,0.375,1.04,0.437,0.5,0.725,1.225,0.9819047619047618,0.3269285714285714,0.414595238095238,0.5673095238095238,0.12857142857142856,0.10261904761904768,0.0413095238095238
28,0.362,0.1,0.0,0.0,0.012,0.0,-0.005,0.293,0.333,0.387,0.72,0.075,0.138,0.0,0.062,0.309,3.88,0.29,0.571,0.09400000000000003,0.040000000000000036,0.013,0.087,0.05,0.227,0.735,0.323,0.25,0.23076923076923078,0.4807692307692308,0.7341111111111113,0.284037037037037,0.3472962962962964,0.3868148148148148,0.060592592592592594,0.11503703703703702,0.003962962962962963
29,0.439,0.22,0.024,0.0,0.0,0.024,0.02,0.343,0.439,0.514,0.9530000000000001,0.098,0.098,0.0,0.098,0.367,3.76,0.368,1.5,0.17099999999999999,0.09599999999999997,0.024,0.098,0.146,0.333,0.93,0.43,0.35714285714285715,0.25,0.6071428571428572,0.8318857142857142,0.32448571428571416,0.4096857142857143,0.4222,0.040371428571428544,0.14134285714285716,0.003828571428571428
30,0.37,0.12,0.02,0.03,0.0,0.01,0.009,0.311,0.386,0.411,0.7969999999999999,0.06,0.09,0.02,0.05,0.406,4.08,0.38,0.417,0.09999999999999998,0.07500000000000001,0.02,0.24,0.1,0.179,0.813,0.366,0.3181818181818182,0.47058823529411764,0.7887700534759359,0.7867999999999999,0.28431111111111107,0.3540888888888889,0.43271111111111105,0.0760888888888889,0.09822222222222224,0.017511111111111113
31,0.467,0.133,0.033,0.017,0.0,0.017,0.005,0.37,0.433,0.519,0.952,0.083,0.1,0.017,0.1,0.475,4.05,0.449,0.462,0.14900000000000002,0.063,0.017,0.217,0.1,0.3,0.945,0.425,0.43478260869565216,0.6,1.0347826086956522,0.8744615384615384,0.3302307692307692,0.3974615384615384,0.47700000000000004,0.09099999999999998,0.1026923076923077,0.024769230769230773
32,0.531,0.177,0.01,0.0,0.01,0.021,0.002,0.345,0.414,0.586,1.0,0.125,0.146,0.042,0.115,0.352,3.84,0.404,0.667,0.241,0.069,0.052,0.125,0.083,0.367,0.98,0.45,0.3333333333333333,0.5172413793103449,0.8505747126436782,0.7795000000000001,0.30325,0.3420625,0.4374374999999999,0.07424999999999998,0.11975000000000002,0.0213125
33,0.294,0.0,0.029,0.088,0.0,0.0,-0.014,0.281,0.343,0.312,0.655,0.0,0.176,0.0,0.029,0.346,3.91,0.288,0.333,0.030999999999999972,0.062,0.0,0.176,0.059,0.111,0.718,0.313,0.3448275862068966,0.32142857142857145,0.666256157635468,0.6888000000000001,0.2893,0.3264,0.3624,0.027600000000000003,0.1817,0.0
34,0.412,0.108,0.01,0.02,0.01,0.01,0.006,0.359,0.439,0.457,0.896,0.029,0.216,0.0,0.069,0.4,4.09,0.364,0.75,0.09800000000000003,0.08000000000000002,0.01,0.118,0.088,0.212,0.901,0.426,0.30434782608695654,0.5,0.8043478260869565,0.8851052631578947,0.34421052631578947,0.38947368421052636,0.4956315789473684,0.052421052631578965,0.14136842105263156,0.008710526315789478
35,0.5,0.184,0.031,0.0,0.02,0.0,0.003,0.28,0.303,0.527,0.8300000000000001,0.102,0.112,0.071,0.112,0.286,3.69,0.374,0.158,0.247,0.022999999999999965,0.061,0.194,0.031,0.423,0.858,0.35,0.3111111111111111,0.4772727272727273,0.7883838383838384,0.7880869565217392,0.290695652173913,0.32560869565217393,0.4624782608695652,0.06504347826086956,0.08856521739130434,0.025043478260869566
36,0.293,0.08,0.053,0.013,0.0,0.0,-0.003,0.246,0.307,0.319,0.626,0.0,0.093,0.0,0.053,0.283,3.67,0.252,0.667,0.07300000000000001,0.061,0.0,0.12,0.08,0.235,0.688,0.284,0.48484848484848486,0.5,0.9848484848484849,0.7291249999999999,0.29974999999999996,0.354,0.375125,0.02,0.115375,0.0
37,0.268,0.073,0.024,0.073,0.0,0.0,-0.005,0.263,0.317,0.289,0.606,0.024,0.171,0.0,0.024,0.323,3.9,0.268,0.429,0.025999999999999968,0.05399999999999999,0.0,0.171,0.073,0.1,0.652,0.28,0.26666666666666666,0.18518518518518517,0.45185185185185184,0.5011538461538461,0.21015384615384616,0.27184615384615385,0.2293076923076923,0.010461538461538463,0.13323076923076926,0.0
38,0.72,0.215,0.009,0.0,0.009,0.0,0.013,0.394,0.468,0.819,1.287,0.15,0.112,0.065,0.15,0.455,3.99,0.63,0.429,0.42499999999999993,0.07400000000000001,0.112,0.262,0.112,0.432,1.239,0.536,0.3018867924528302,0.46938775510204084,0.771274547554871,0.9970697674418605,0.30446511627906975,0.3884883720930233,0.6085813953488373,0.13104651162790698,0.08018604651162792,0.050813953488372074
39,0.566,0.217,0.019,0.0,0.019,0.0,0.008,0.337,0.374,0.612,0.986,0.113,0.151,0.019,0.113,0.325,3.77,0.397,0.545,0.27499999999999997,0.03699999999999998,0.057,0.104,0.057,0.364,0.995,0.416,0.40540540540540543,0.47058823529411764,0.875993640699523,0.9852105263157893,0.3272368421052631,0.4108947368421052,0.5743157894736842,0.1012105263157895,0.09442105263157897,0.017526315789473695
40,0.412,0.147,0.0,0.0,0.029,0.01,-0.0,0.245,0.302,0.447,0.749,0.108,0.069,0.02,0.088,0.243,4.0,0.317,0.278,0.202,0.056999999999999995,0.049,0.176,0.049,0.391,0.764,0.336,0.2558139534883721,0.375,0.6308139534883721,0.8005500000000001,0.26572499999999993,0.34314999999999996,0.4573999999999999,0.07547499999999997,0.09542500000000002,0.029825
41,0.419,0.153,0.008,0.0,0.0,0.0,0.007,0.267,0.32,0.448,0.768,0.089,0.073,0.04,0.105,0.318,4.37,0.349,0.296,0.181,0.05299999999999999,0.032,0.218,0.065,0.419,0.778,0.336,0.37037037037037035,0.34782608695652173,0.7181964573268921,0.7690769230769231,0.28600000000000003,0.35379487179487185,0.4152820512820513,0.06217948717948719,0.10517948717948716,0.015256410256410256
42,0.582,0.164,0.036,0.0,0.0,0.0,0.018,0.429,0.5,0.653,1.153,0.091,0.164,0.018,0.127,0.475,3.75,0.479,0.857,0.22400000000000003,0.07100000000000001,0.036,0.127,0.109,0.333,1.127,0.505,0.2962962962962963,0.4583333333333333,0.7546296296296295,0.953093023255814,0.3237209302325581,0.40088372093023245,0.5522093023255814,0.09058139534883722,0.10037209302325584,0.024883720930232566
43,0.42,0.11,0.01,0.0,0.01,0.01,0.001,0.287,0.34,0.447,0.787,0.11,0.07,0.03,0.07,0.315,3.72,0.343,0.278,0.16000000000000003,0.05300000000000005,0.04,0.18,0.05,0.259,0.798,0.357,0.4444444444444444,0.47619047619047616,0.9206349206349206,0.8008333333333333,0.28116666666666673,0.3421666666666667,0.4586666666666666,0.11566666666666665,0.07550000000000001,0.03616666666666667
44,0.354,0.146,0.0,0.0,0.0,0.0,0.015,0.262,0.367,0.405,0.772,0.125,0.083,0.0,0.062,0.312,3.75,0.321,0.667,0.14300000000000002,0.10499999999999998,0.021,0.188,0.125,0.273,0.786,0.355,0.41379310344827586,0.6,1.013793103448276,0.7743333333333333,0.29000000000000004,0.38433333333333336,0.38999999999999996,0.06466666666666666,0.09600000000000002,0.0
45,0.389,0.148,0.0,0.0,0.028,0.0,0.002,0.273,0.312,0.424,0.736,0.065,0.102,0.019,0.065,0.271,3.7,0.303,0.462,0.15099999999999997,0.03899999999999998,0.037,0.12,0.056,0.259,0.757,0.32,0.4090909090909091,0.55,0.9590909090909092,0.9019705882352941,0.3385882352941176,0.3832647058823529,0.5187058823529413,0.0968529411764706,0.11220588235294118,0.020235294117647067
46,0.536,0.082,0.062,0.0,0.0,0.01,0.005,0.348,0.381,0.565,0.946,0.072,0.082,0.031,0.134,0.414,3.45,0.433,0.263,0.21699999999999997,0.03300000000000003,0.031,0.196,0.052,0.406,0.971,0.409,0.36363636363636365,0.47619047619047616,0.8398268398268398,0.7393,0.2617,0.30755,0.43174999999999997,0.07335,0.06555000000000001,0.03115000000000001
47,0.435,0.129,0.012,0.0,0.0,0.0,0.007,0.276,0.368,0.487,0.855,0.118,0.118,0.035,0.094,0.315,4.24,0.372,0.5,0.21099999999999997,0.09199999999999997,0.047,0.212,0.106,0.381,0.864,0.382,0.3333333333333333,0.47368421052631576,0.8070175438596491,0.8650769230769231,0.274,0.3351538461538462,0.5299230769230769,0.1346923076923077,0.09107692307692307,0.03953846153846153
48,0.279,0.049,0.0,0.066,0.0,0.0,-0.0,0.232,0.295,0.304,0.599,0.016,0.115,0.0,0.066,0.25,3.85,0.223,1.25,0.07199999999999998,0.06299999999999997,0.0,0.066,0.082,0.308,0.638,0.273,0.2,0.26666666666666666,0.4666666666666667,0.6878333333333333,0.29033333333333333,0.3398333333333334,0.34800000000000003,0.0026666666666666666,0.16116666666666665,0.0
49,0.392,0.133,0.017,0.0,0.017,0.008,0.005,0.319,0.342,0.416,0.758,0.05,0.108,0.008,0.067,0.343,3.37,0.318,0.417,0.09699999999999998,0.02300000000000002,0.008,0.1,0.042,0.222,0.766,0.334,0.35714285714285715,0.5,0.8571428571428572,0.8757105263157897,0.3192105263157895,0.38850000000000007,0.4872105263157895,0.09431578947368421,0.09926315789473683,0.011842105263157899
50,0.549,0.235,0.0,0.0,0.0,0.02,0.012,0.302,0.423,0.651,1.074,0.157,0.059,0.118,0.098,0.308,4.31,0.481,0.667,0.34900000000000003,0.121,0.098,0.235,0.157,0.385,1.038,0.469,0.4864864864864865,0.8064516129032258,1.2929380993897124,1.0051818181818182,0.2990606060606061,0.41345454545454546,0.5917272727272725,0.13290909090909098,0.0742121212121212,0.06515151515151515
51,0.39,0.154,0.008,0.0,0.0,0.0,0.003,0.292,0.4,0.453,0.853,0.073,0.081,0.016,0.073,0.333,4.24,0.352,0.81,0.16100000000000003,0.10800000000000004,0.033,0.171,0.138,0.29,0.865,0.387,0.45652173913043476,0.6923076923076923,1.148829431438127,0.866625,0.306375,0.3817916666666666,0.4848333333333334,0.09670833333333334,0.09050000000000002,0.029708333333333347
52,0.469,0.112,0.01,0.02,0.01,0.0,0.001,0.355,0.39,0.495,0.885,0.031,0.122,0.0,0.071,0.369,3.81,0.356,0.5,0.14,0.03500000000000003,0.02,0.082,0.041,0.212,0.881,0.393,0.5106382978723404,0.7045454545454546,1.2151837524177949,0.876547619047619,0.343142857142857,0.4037619047619047,0.4727857142857144,0.030690476190476188,0.11759523809523807,0.0
53,0.54,0.22,0.0,0.0,0.01,0.0,0.012,0.37,0.422,0.587,1.009,0.09,0.15,0.04,0.14,0.431,4.05,0.449,0.389,0.21699999999999997,0.05199999999999999,0.03,0.18,0.07,0.412,0.995,0.44,0.3333333333333333,0.5370370370370371,0.8703703703703705,0.8771707317073169,0.3025121951219512,0.36246341463414633,0.5147073170731706,0.11039024390243904,0.09234146341463415,0.01990243902439025
54,0.57,0.203,0.008,0.0,0.016,0.0,0.01,0.298,0.359,0.64,0.999,0.172,0.062,0.062,0.156,0.316,4.06,0.452,0.429,0.342,0.061,0.07,0.219,0.094,0.588,0.996,0.412,0.5490196078431373,1.1458333333333333,1.6948529411764706,0.9930243902439022,0.32034146341463426,0.40129268292682924,0.5917317073170731,0.12458536585365858,0.08009756097560977,0.05097560975609754
55,0.258,0.091,0.0,0.045,0.0,0.0,-0.005,0.246,0.303,0.279,0.5820000000000001,0.0,0.182,0.0,0.03,0.306,3.89,0.257,0.417,0.03300000000000003,0.056999999999999995,0.0,0.182,0.076,0.133,0.616,0.269,0.25925925925925924,0.28,0.5392592592592593,0.5741818181818181,0.21254545454545457,0.2859545454545455,0.2882272727272727,0.03831818181818182,0.10059090909090909,0.0031818181818181815
56,0.348,0.188,0.0,0.0,0.014,0.0,0.003,0.306,0.371,0.387,0.758,0.0,0.13,0.0,0.043,0.4,4.29,0.371,0.353,0.08100000000000002,0.065,0.014,0.246,0.087,0.158,0.768,0.346,0.23529411764705882,0.3125,0.5477941176470589,0.6951666666666667,0.27575,0.33225,0.3629166666666667,0.03541666666666667,0.10225000000000001,0.007083333333333334
57,0.427,0.137,0.017,0.0,0.0,0.0,0.003,0.286,0.364,0.476,0.84,0.094,0.128,0.026,0.068,0.333,4.54,0.385,0.444,0.19,0.07800000000000001,0.051,0.231,0.103,0.267,0.854,0.371,0.5,0.7,1.2,0.7710731707317072,0.25121951219512195,0.34485365853658545,0.4262195121951219,0.09446341463414634,0.08575609756097563,0.033439024390243904
58,0.2,0.044,0.0,0.022,0.022,0.0,-0.013,0.186,0.2,0.209,0.40900000000000003,0.0,0.156,0.0,0.022,0.25,3.6,0.216,0.083,0.022999999999999993,0.014000000000000012,0.0,0.267,0.022,0.125,0.446,0.184,0.19047619047619047,0.1111111111111111,0.30158730158730157,0.35250000000000004,0.1485,0.1815,0.17099999999999999,0.0,0.13,0.0
59,0.487,0.154,0.026,0.0,0.0,0.0,-0.002,0.297,0.333,0.514,0.847,0.154,0.051,0.051,0.154,0.4,3.72,0.431,0.182,0.21700000000000003,0.03600000000000003,0.026,0.282,0.051,0.545,0.841,0.361,0.5263157894736842,0.35714285714285715,0.8834586466165413,0.7761428571428571,0.2897142857142857,0.36899999999999994,0.4071428571428571,0.06514285714285714,0.08942857142857143,0.03114285714285714
60,0.323,0.226,0.016,0.0,0.016,0.0,-0.004,0.217,0.226,0.333,0.559,0.048,0.048,0.0,0.048,0.262,3.32,0.291,0.059,0.11600000000000002,0.009000000000000008,0.032,0.274,0.016,0.231,0.578,0.24,0.1935483870967742,0.25806451612903225,0.45161290322580644,0.7148437500000002,0.29699999999999993,0.3243125,0.39053125000000005,0.03903125000000002,0.08615624999999998,0.006375
61,0.324,0.124,0.019,0.0,0.01,0.01,0.002,0.183,0.274,0.366,0.64,0.086,0.038,0.029,0.086,0.194,4.11,0.267,0.478,0.183,0.09100000000000003,0.038,0.219,0.105,0.529,0.671,0.287,0.3673469387755102,0.7,1.0673469387755101,0.8100789473684212,0.2702105263157895,0.3677631578947369,0.4423157894736842,0.08492105263157894,0.09655263157894736,0.03034210526315789
62,0.304,0.043,0.022,0.0,0.0,0.0,-0.006,0.186,0.239,0.326,0.565,0.087,0.065,0.022,0.087,0.233,4.39,0.265,0.25,0.14,0.05299999999999999,0.022,0.261,0.065,0.5,0.596,0.248,0.1,0.0,0.1,0.565,0.186,0.239,0.326,0.087,0.065,0.022
63,0.622,0.232,0.024,0.012,0.0,0.0,0.021,0.397,0.434,0.654,1.088,0.098,0.037,0.024,0.11,0.464,4.05,0.505,0.235,0.257,0.03699999999999998,0.061,0.207,0.049,0.29,1.062,0.469,0.3076923076923077,0.5833333333333334,0.8910256410256411,0.9355000000000001,0.3070416666666666,0.355,0.5804999999999999,0.11920833333333332,0.06566666666666666,0.04691666666666667
64,0.236,0.047,0.047,0.009,0.019,0.0,-0.003,0.258,0.37,0.281,0.651,0.009,0.151,0.0,0.019,0.303,4.44,0.257,1.0,0.02300000000000002,0.11199999999999999,0.0,0.142,0.142,0.087,0.712,0.318,0.35555555555555557,0.28205128205128205,0.6376068376068376,0.6808275862068965,0.2694137931034483,0.36865517241379314,0.31217241379310345,0.001586206896551724,0.15203448275862072,0.0
65,0.455,0.152,0.051,0.01,0.01,0.0,0.011,0.364,0.424,0.511,0.935,0.051,0.101,0.02,0.081,0.429,3.99,0.415,0.588,0.14700000000000002,0.06,0.02,0.172,0.101,0.25,0.94,0.409,0.4473684210526316,0.6571428571428571,1.1045112781954887,0.992,0.36758333333333343,0.41858333333333336,0.5734166666666667,0.06766666666666667,0.10241666666666667,0.0295
66,0.427,0.082,0.0,0.0,0.0,0.0,0.0,0.326,0.418,0.495,0.913,0.082,0.091,0.018,0.109,0.397,3.96,0.395,0.75,0.16899999999999998,0.09199999999999997,0.018,0.182,0.136,0.387,0.905,0.402,0.5185185185185185,0.6666666666666666,1.1851851851851851,0.8981666666666666,0.3105,0.38283333333333336,0.5153333333333333,0.10691666666666665,0.10583333333333333,0.023416666666666665
